job_role,experience,skills_count,salary
Data Analyst,2,6,600000
Data Analyst,4,8,850000
Frontend Developer,1,5,500000
Backend Developer,3,7,900000
Machine Learning Engineer,2,9,1200000
UI/UX Designer,1,6,450000
Full Stack Developer,3,10,1000000
Data Analyst,5,9,950000
Data Scientist,4,10,1100000
DevOps Engineer,2,8,950000
Data Engineer,3,9,1050000
Software Engineer,4,10,1150000
Data Analyst,6,10,1200000
Cloud Engineer,3,8,1000000
Data Scientist,5,11,1300000
AI Engineer,2,10,1250000
Data Analyst,7,11,1400000
Machine Learning Engineer,4,12,1500000
Data Engineer,5,11,1350000
Full Stack Developer,4,10,1400000
DevOps Engineer,3,9,1250000